alacritty 0.12.2-1
base 3-1
base-devel 1-1
efibootmgr 18-2
feh 3.10-1
git 2.41.0-1
grub 2:2.12rc1-1
gst-plugin-pipewire 1:0.3.74-1
intel-media-driver 23.2.3-1
intel-ucode 20230613-1
libpulse 16.1-6
libva-intel-driver 2.4.1-2
libxft 2.3.8-1
libxinerama 1.1.5-1
linux 6.4.3.arch1-2
linux-firmware 20230625.ee91452d-4
lsd 0.23.1-2
minizip 1:1.2.13-3
neofetch 7.1.0-2
networkmanager 1.42.6-1
picom 10.2-1
pipewire 1:0.3.74-1
pipewire-alsa 1:0.3.74-1
pipewire-jack 1:0.3.74-1
pipewire-media-session 1:0.4.2-2
pipewire-pulse 1:0.3.74-1
terminus-font 4.49.1-5
ttf-jetbrains-mono 2.304-1
ttf-nerd-fonts-symbols 3.0.2-1
ttf-nerd-fonts-symbols-mono 3.0.2-1
ttf-noto-emoji-monochrome 1.0.0-2
unzip 6.0-19
vim 9.0.1676-1
vulkan-intel 23.1.3-2
webkit2gtk 2.40.3-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-server 21.1.8-2
xorg-xbacklight 1.2.3-3
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xpr 1.1.0-1
xorg-xrandr 1.5.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xwayland 23.1.2-1
xterm 384-1
yay 12.1.0-1
zimg 3.0.4-1
zram-generator 1.1.2-1
zsh-autosuggestions 0.7.0-2
zvbi 0.2.41-1
zxing-cpp 2.1.0-1
