acpi 1.7-3
alacritty 0.12.2-1
base 3-1
base-devel 1-1
bluez 5.69-1
bluez-utils 5.69-1
brave-bin 1:1.57.53-1
brightnessctl 0.5.1-2
caprine 2.58.0-1
clang 16.0.6-1
cmake 3.27.4-1
code 1.81.1-1
copyq 7.0.0-1
cronie 1.6.1-1
cython 3.0.2-1
discord 0.0.28-1
dunst 1.9.2-1
efibootmgr 18-2
emacs 29.1-4
espeak 1:1.48.04-4
evince 44.3-1
feh 3.10-1
git 2.42.0-1
github-copilot-cli 0.1.33-1
glfw-x11 3.3.8-1
gnome-keyring 1:42.1-3
google-chrome 116.0.5845.110-1
gparted 1.5.0-1
grub 2:2.12rc1-1
gst-plugin-pipewire 1:0.3.78-1
htop 3.2.2-1
insomnia 2023.5.6-1
intel-media-driver 23.3.1-1
intel-ucode 20230808-1
kdeconnect 23.08.0-1
lib32-mesa 1:23.1.6-4
lib32-vulkan-radeon 1:23.1.6-4
libpulse 16.1-6
libva-intel-driver 2.4.1-2
libxft 2.3.8-1
libxinerama 1.1.5-1
linux 6.4.12.arch1-1
linux-firmware 20230804.7be2766d-2
lsd 1.0.0-1
lsof 4.98.0-1
maim 5.7.4-6
man-db 2.11.2-1
mesa-utils 9.0.0-2
microsoft-edge-stable-bin 116.0.1938.62-1
minizip 1:1.3-1
neovim 0.9.1-3
networkmanager 1.42.6-1
ninja 1.11.1-3
ntfs-3g 2022.10.3-1
openssh 9.4p1-2
paccache-hook 1.1.1-2
pamixer 1.6-2
perl-file-mimeinfo 0.33-2
picom 10.2-1
pipewire 1:0.3.78-1
pipewire-alsa 1:0.3.78-1
pipewire-jack 1:0.3.78-1
pipewire-media-session 1:0.4.2-2
pipewire-pulse 1:0.3.78-1
pyenv 2.3.35-1
pyright 1.1.324-1
python 3.11.5-1
python-pip 23.2.1-1
python-pipenv 2023.8.26-1
python-pipx 1.2.0-1
python-requests 2.28.2-4
qbittorrent 4.5.4-1
ranger 1.9.3-9
scrot 1.10-1
stockfish 1:16-1
strace 6.4-1
supertuxkart 1.4-5
teams 1.5.00.23861-1
terminus-font 4.49.1-5
thunar 4.18.6-1
tree 2.1.1-1
ttf-jetbrains-mono 2.304-1
ttf-nerd-fonts-symbols 3.0.2-2
ttf-nerd-fonts-symbols-mono 3.0.2-2
ttf-noto-emoji-monochrome 1.0.0-2
ttf-ubuntu-font-family 1:0.83-1
unzip 6.0-19
update-alternatives 1.21.22-1
vi 1:070224-6
viber 20.3.0.1-1
vim 9.0.1736-1
vlc 3.0.18-14
vulkan-intel 1:23.1.6-4
vulkan-radeon 1:23.1.6-4
vulkan-tools 1.3.255-1
webcamoid 9.1.1-1
webkit2gtk 2.40.5-2
xbindkeys 1.8.7-4
xclip 0.13-4
xdotool 3.20211022.1-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-server 21.1.8-2
xorg-xbacklight 1.2.3-3
xorg-xev 1.2.5-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xpr 1.1.0-1
xorg-xrandr 1.5.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xwayland 23.2.0-1
yay 12.1.2-1
zimg 3.0.5-1
zram-generator 1.1.2-1
zsh-autosuggestions 0.7.0-2
zsh-theme-powerlevel9k-git v0.6.7.r6.g66d53c02-1
zvbi 0.2.42-1
zxing-cpp 2.1.0-1
